,f1_micro,f1_macro,f1_weighted,accuracy,recall,precision
biobert,0.981273,0.96122,0.981065,0.981273,0.981273,0.981079
bert-base,0.966292,0.928595,0.965515,0.966292,0.966292,0.965625
Scibert,0.986891,0.973004,0.986783,0.986891,0.986891,0.986801
BioLinkBERT,0.985019,0.969317,0.984937,0.985019,0.985019,0.98491
BiomedBERT,0.979401,0.96018,0.979867,0.979401,0.979401,0.981323
PubMedBERT,0.985019,0.970894,0.985322,0.985019,0.985019,0.986429
Bio_ClinicalBERT,0.983146,0.966039,0.983191,0.983146,0.983146,0.98325
