,f1_micro,f1_macro,f1_weighted,accuracy,recall,precision
biobert,0.827715,0.813002,0.82381,0.827715,0.827715,0.827264
bert-base,0.820225,0.785447,0.814758,0.820225,0.820225,0.82026
Scibert,0.838951,0.819386,0.839235,0.838951,0.838951,0.843169
BioLinkBERT,0.840824,0.818363,0.838912,0.840824,0.840824,0.841999
BiomedBERT,0.840824,0.819733,0.837824,0.840824,0.840824,0.845839
PubMedBERT,0.827715,0.813235,0.824486,0.827715,0.827715,0.825939
Bio_ClinicalBERT,0.803371,0.777453,0.80115,0.803371,0.803371,0.802231
