,f1_micro,f1_macro,f1_weighted,accuracy,recall,precision
biobert,0.9812734082397003,0.9612200435729847,0.9810645190244222,0.9812734082397003,0.9812734082397003,0.9810793145420807
bert-base,0.9662921348314607,0.9285947760972277,0.9655148697029199,0.9662921348314607,0.9662921348314607,0.9656253666087098
Scibert,0.9868913857677902,0.9730043981598504,0.9867826104079369,0.9868913857677902,0.9868913857677902,0.9868006135104328
BioLinkBERT,0.9850187265917603,0.9693173982992416,0.9849365206844696,0.9850187265917603,0.9850187265917603,0.9849097125325369
BiomedBERT,0.9794007490636704,0.9601803206453581,0.9798670128258397,0.9794007490636704,0.9794007490636704,0.9813228882812596
PubMedBERT,0.9850187265917603,0.9708936309377811,0.9853224920896955,0.9850187265917603,0.9850187265917603,0.9864287287948887
Bio_ClinicalBERT,0.9831460674157303,0.9660389358018585,0.9831912049661629,0.9831460674157303,0.9831460674157303,0.9832496828357266
